mentor_id,feedback_text,sentiment,score
MT139,Highly Recommended,Positive,5
MT126,Not Recommended,Negative,1
MT115,Not Helpful,Negative,1
MT128,Wonderful Teaching,Positive,5
MT124,Poor Guidance,Negative,1
MT133,Great Support,Positive,5
MT120,Not Recommended,Negative,1
MT106,Wonderful Teaching,Positive,5
MT117,Fair Teaching,Neutral,3
MT140,Disappointing Session,Negative,1
MT131,Fair Teaching,Neutral,3
MT115,Impressive Teaching,Positive,5
MT120,Average Session,Neutral,3
MT120,So So Mentor,Neutral,3
MT113,Okay Mentor,Neutral,3
MT135,Moderate Help,Neutral,3
MT110,Moderate Help,Neutral,3
MT122,Impressive Teaching,Positive,5
MT140,Excellent Mentor,Positive,5
MT135,Wonderful Teaching,Positive,5
MT101,Very Helpful,Positive,5
MT136,Fantastic Sessions,Positive,5
MT137,Moderate Help,Neutral,3
MT122,Lacks Clarity,Negative,1
MT136,Brilliant Mentor,Positive,5
MT105,Good Guidance,Positive,5
MT134,Fantastic Sessions,Positive,5
MT139,Fair Teaching,Neutral,3
MT116,Unsatisfactory Help,Negative,1
MT106,Not Recommended,Negative,1
MT104,Great Support,Positive,5
MT121,Okay Mentor,Neutral,3
MT106,Below Average Mentor,Negative,1
MT116,Good Guidance,Positive,5
MT138,Moderate Help,Neutral,3
MT101,Outstanding Help,Positive,5
MT102,Poor Communication,Negative,1
MT104,Not Recommended,Negative,1
MT134,Not Recommended,Negative,1
MT123,Disappointing Session,Negative,1
MT117,Average Support,Neutral,3
MT116,Satisfactory Session,Neutral,3
MT107,Acceptable Guidance,Neutral,3
MT107,Below Average Mentor,Negative,1
MT139,Remarkable Guidance,Positive,5
MT131,Fantastic Sessions,Positive,5
MT123,Good Guidance,Positive,5
MT128,Impressive Teaching,Positive,5
MT101,Not Recommended,Negative,1
MT124,Excellent Support,Positive,5
MT120,Highly Recommended,Positive,5
MT101,Needs Improvement,Negative,1
MT112,Superb Guidance,Positive,5
MT101,Acceptable Guidance,Neutral,3
MT109,Satisfactory Session,Neutral,3
MT114,Unsatisfactory Help,Negative,1
MT128,Poor Communication,Negative,1
MT109,Acceptable Guidance,Neutral,3
MT135,Moderate Help,Neutral,3
MT104,Great Support,Positive,5
MT108,Great Support,Positive,5
MT112,Ordinary Session,Neutral,3
MT110,Good Guidance,Positive,5
MT105,Needs Improvement,Negative,1
MT106,Fair Teaching,Neutral,3
MT123,Moderate Help,Neutral,3
MT109,Fantastic Sessions,Positive,5
MT125,Superb Guidance,Positive,5
MT140,Brilliant Mentor,Positive,5
MT113,Average Session,Neutral,3
MT110,So So Mentor,Neutral,3
MT108,Very Knowledgeable,Positive,5
MT105,Good Guidance,Positive,5
MT118,Acceptable Guidance,Neutral,3
MT133,Remarkable Guidance,Positive,5
MT123,Impressive Teaching,Positive,5
MT132,Okay Mentor,Neutral,3
MT111,Remarkable Guidance,Positive,5
MT105,Very Poor Session,Negative,1
MT115,Ordinary Session,Neutral,3
MT122,Poor Guidance,Negative,1
MT120,Outstanding Help,Positive,5
MT118,Impressive Teaching,Positive,5
MT110,Moderate Help,Neutral,3
MT102,Exceptional Mentor,Positive,5
MT110,Unsatisfactory Help,Negative,1
MT122,Good Guidance,Positive,5
MT121,Satisfactory Session,Neutral,3
MT105,Good Guidance,Positive,5
MT119,Impressive Teaching,Positive,5
MT107,Very Knowledgeable,Positive,5
MT118,Exceptional Mentor,Positive,5
MT133,Very Helpful,Positive,5
MT136,Okay Mentor,Neutral,3
MT121,Great Support,Positive,5
MT113,Very Knowledgeable,Positive,5
MT124,Average Session,Neutral,3
MT110,Impressive Teaching,Positive,5
MT136,Impressive Teaching,Positive,5
MT125,Disappointing Session,Negative,1
MT135,Highly Recommended,Positive,5
MT116,Very Knowledgeable,Positive,5
MT132,Fantastic Sessions,Positive,5
MT135,Poor Guidance,Negative,1
MT120,So So Mentor,Neutral,3
MT120,So So Mentor,Neutral,3
MT116,Acceptable Guidance,Neutral,3
MT108,Disappointing Session,Negative,1
MT109,Fantastic Sessions,Positive,5
MT129,Lacks Clarity,Negative,1
MT131,Remarkable Guidance,Positive,5
MT125,Below Average Mentor,Negative,1
MT119,Not Helpful,Negative,1
MT119,Needs Improvement,Negative,1
MT138,Highly Recommended,Positive,5
MT135,Moderate Help,Neutral,3
MT119,Satisfactory Session,Neutral,3
MT120,Highly Recommended,Positive,5
MT107,Excellent Support,Positive,5
MT139,Needs Improvement,Negative,1
MT105,Excellent Support,Positive,5
MT133,Okay Mentor,Neutral,3
MT132,Ordinary Session,Neutral,3
MT108,Ordinary Session,Neutral,3
MT115,Wonderful Teaching,Positive,5
MT133,Average Session,Neutral,3
MT119,Very Knowledgeable,Positive,5
MT138,Wonderful Teaching,Positive,5
MT125,Disappointing Session,Negative,1
MT124,Moderate Help,Neutral,3
MT107,Very Poor Session,Negative,1
MT112,Excellent Mentor,Positive,5
MT101,Moderate Help,Neutral,3
MT137,Exceptional Mentor,Positive,5
MT115,Decent Guidance,Neutral,3
MT128,Satisfactory Session,Neutral,3
MT132,Poor Guidance,Negative,1
MT138,Very Poor Session,Negative,1
MT115,Superb Guidance,Positive,5
MT104,Good Guidance,Positive,5
MT105,Not Recommended,Negative,1
MT120,Decent Guidance,Neutral,3
MT109,Excellent Support,Positive,5
MT119,Poor Guidance,Negative,1
MT138,Poor Communication,Negative,1
MT138,Very Poor Session,Negative,1
MT109,Average Session,Neutral,3
MT140,Moderate Help,Neutral,3
MT116,Very Knowledgeable,Positive,5
MT132,Impressive Teaching,Positive,5
MT114,Excellent Support,Positive,5
MT136,Very Poor Session,Negative,1
MT125,Excellent Support,Positive,5
MT138,Not Helpful,Negative,1
MT123,Poor Guidance,Negative,1
MT134,Poor Communication,Negative,1
MT108,Decent Guidance,Neutral,3
MT114,Decent Guidance,Neutral,3
MT102,Brilliant Mentor,Positive,5
MT106,Wonderful Teaching,Positive,5
MT125,Fair Teaching,Neutral,3
MT114,Average Session,Neutral,3
MT123,Moderate Help,Neutral,3
MT105,Impressive Teaching,Positive,5
MT128,Brilliant Mentor,Positive,5
MT102,Outstanding Help,Positive,5
MT108,Unsatisfactory Help,Negative,1
MT121,Moderate Help,Neutral,3
MT131,Fantastic Sessions,Positive,5
MT115,Poor Communication,Negative,1
MT137,Disappointing Session,Negative,1
MT126,Ordinary Session,Neutral,3
MT119,Remarkable Guidance,Positive,5
MT103,Fair Teaching,Neutral,3
MT114,Not Recommended,Negative,1
MT111,Poor Guidance,Negative,1
MT103,Ordinary Session,Neutral,3
MT103,Excellent Support,Positive,5
MT129,Brilliant Mentor,Positive,5
MT103,Okay Mentor,Neutral,3
MT130,Satisfactory Session,Neutral,3
MT121,Disappointing Session,Negative,1
MT138,Decent Guidance,Neutral,3
MT113,Outstanding Help,Positive,5
MT137,Highly Recommended,Positive,5
MT111,Excellent Support,Positive,5
MT110,Very Knowledgeable,Positive,5
MT112,Not Helpful,Negative,1
MT115,So So Mentor,Neutral,3
MT107,Excellent Mentor,Positive,5
MT134,Wonderful Teaching,Positive,5
MT105,Decent Guidance,Neutral,3
MT108,Great Support,Positive,5
MT139,Average Support,Neutral,3
MT125,Very Knowledgeable,Positive,5
MT118,Ordinary Session,Neutral,3
MT104,Good Guidance,Positive,5
MT111,Average Support,Neutral,3
MT103,Brilliant Mentor,Positive,5
MT131,So So Mentor,Neutral,3
MT102,Below Average Mentor,Negative,1
MT104,Very Helpful,Positive,5
MT137,Great Support,Positive,5
MT116,Ordinary Session,Neutral,3
MT117,Impressive Teaching,Positive,5
MT113,Disappointing Session,Negative,1
MT132,Acceptable Guidance,Neutral,3
MT122,Exceptional Mentor,Positive,5
MT120,Poor Communication,Negative,1
MT101,Very Helpful,Positive,5
MT128,So So Mentor,Neutral,3
MT139,Excellent Support,Positive,5
MT139,Disappointing Session,Negative,1
MT133,Very Helpful,Positive,5
MT135,Not Helpful,Negative,1
MT137,Not Helpful,Negative,1
MT134,Outstanding Help,Positive,5
MT114,Average Session,Neutral,3
MT113,Highly Recommended,Positive,5
MT128,Decent Guidance,Neutral,3
MT122,Impressive Teaching,Positive,5
MT131,Poor Communication,Negative,1
MT108,Needs Improvement,Negative,1
MT127,Very Poor Session,Negative,1
MT111,Disappointing Session,Negative,1
MT103,Not Recommended,Negative,1
MT136,Satisfactory Session,Neutral,3
MT114,Good Guidance,Positive,5
MT108,Okay Mentor,Neutral,3
MT123,Not Recommended,Negative,1
MT124,Very Knowledgeable,Positive,5
MT104,Not Helpful,Negative,1
MT116,Acceptable Guidance,Neutral,3
MT132,Excellent Support,Positive,5
MT102,Superb Guidance,Positive,5
MT111,Superb Guidance,Positive,5
MT108,Good Guidance,Positive,5
MT108,Good Guidance,Positive,5
MT123,Poor Guidance,Negative,1
MT107,Excellent Support,Positive,5
MT133,Average Support,Neutral,3
MT101,Excellent Mentor,Positive,5
MT115,Fair Teaching,Neutral,3
MT110,Fantastic Sessions,Positive,5
MT129,Average Session,Neutral,3
MT128,Good Guidance,Positive,5
MT124,Very Knowledgeable,Positive,5
MT135,Average Session,Neutral,3
MT109,Excellent Support,Positive,5
MT124,Poor Guidance,Negative,1
MT111,Not Recommended,Negative,1
MT101,Acceptable Guidance,Neutral,3
MT122,Okay Mentor,Neutral,3
MT102,Okay Mentor,Neutral,3
MT115,Highly Recommended,Positive,5
MT111,Below Average Mentor,Negative,1
MT102,Not Recommended,Negative,1
MT132,Unsatisfactory Help,Negative,1
MT104,Not Helpful,Negative,1
MT117,Impressive Teaching,Positive,5
MT116,Lacks Clarity,Negative,1
MT135,Very Poor Session,Negative,1
MT126,Decent Guidance,Neutral,3
MT112,Ordinary Session,Neutral,3
MT114,Very Knowledgeable,Positive,5
MT130,Good Guidance,Positive,5
MT138,Exceptional Mentor,Positive,5
MT102,Impressive Teaching,Positive,5
MT110,Needs Improvement,Negative,1
MT137,Brilliant Mentor,Positive,5
MT137,Disappointing Session,Negative,1
MT133,Brilliant Mentor,Positive,5
MT107,Fair Teaching,Neutral,3
MT114,Excellent Mentor,Positive,5
MT107,Impressive Teaching,Positive,5
MT111,Fantastic Sessions,Positive,5
MT139,Ordinary Session,Neutral,3
MT119,Wonderful Teaching,Positive,5
MT118,Ordinary Session,Neutral,3
MT134,So So Mentor,Neutral,3
MT118,Acceptable Guidance,Neutral,3
MT125,Outstanding Help,Positive,5
MT114,Superb Guidance,Positive,5
MT131,So So Mentor,Neutral,3
MT135,Impressive Teaching,Positive,5
MT139,Moderate Help,Neutral,3
MT114,Very Poor Session,Negative,1
MT125,Highly Recommended,Positive,5
MT131,Superb Guidance,Positive,5
MT138,Acceptable Guidance,Neutral,3
MT136,Not Helpful,Negative,1
MT117,Poor Communication,Negative,1
MT128,Excellent Mentor,Positive,5
MT124,Poor Guidance,Negative,1
MT124,Impressive Teaching,Positive,5
MT115,Excellent Support,Positive,5
MT127,Disappointing Session,Negative,1
MT131,Acceptable Guidance,Neutral,3
MT122,Moderate Help,Neutral,3
MT123,Lacks Clarity,Negative,1
MT108,Acceptable Guidance,Neutral,3
MT117,Average Session,Neutral,3
MT103,So So Mentor,Neutral,3
MT107,Impressive Teaching,Positive,5
MT121,Acceptable Guidance,Neutral,3
MT129,Remarkable Guidance,Positive,5
MT136,Remarkable Guidance,Positive,5
MT134,Wonderful Teaching,Positive,5
MT137,Poor Guidance,Negative,1
MT118,Good Guidance,Positive,5
MT108,Ordinary Session,Neutral,3
MT121,Exceptional Mentor,Positive,5
MT118,Good Guidance,Positive,5
MT101,Moderate Help,Neutral,3
MT129,Good Guidance,Positive,5
